time,q1,q2,qd1,qd2
0,0,0,0,0
0.02,0.0003924,-0.0007848,0.03924,-0.07848
0.04,0.0015695973112830905,-0.003139191077889692,0.07847970696028671,-0.15695902722886163
0.06,0.003531552300434492,-0.007063041766520145,0.11771559864735465,-0.2354253972719383
0.08,0.0062780726585549744,-0.01255571425200926,0.15693578528942118,-0.3138396782931681
0.1,0.00980859357771115,-0.019615335440779487,0.19611476488243829,-0.39211730094339325
0.12,0.014121854482534417,-0.028237724922868572,0.23520832855783266,-0.47011165477442246
0.14,0.019215477549081234,-0.038414996796919815,0.2741488435371143,-0.5475984090537612
0.16,0.025085459345890772,-0.05013387211743213,0.31284129725543697,-0.6242623022831428
0.18,0.031725596308483,-0.06337376914667815,0.35116065644314337,-0.6996881974853962
0.2,0.039126877277004354,-0.07810477922983738,0.3889512371574642,-0.7733586631730106
0.22,0.0472768907973733,-0.09428568312739677,0.42602883235076894,-0.8446605071938404
0.24,0.056159308713207505,-0.11186220765199051,0.4621862261663887,-0.912902315288647
0.26,0.06575351674779263,-0.13076575250488667,0.49720237482786334,-0.9773439210775479
0.28,0.07603446251974237,-0.15091281685402752,0.5308549420674138,-1.037236824017757
0.3,0.08697277770632611,-0.1722053113309132,0.5629351268098541,-1.0918721478055085
0.32,0.09853520259192199,-0.1945318495747411,0.5932630046816244,-1.1406304140552974
0.34,0.11068530125282515,-0.2177699845946155,0.6217011784549175,-1.1830260197743212
0.36,0.12338441211121766,-0.2417892147361327,0.6481646098515719,-1.2187395439191313
0.38,0.13659274222952567,-0.2664544663859065,0.6726251401385812,-1.2476330439842576
0.4,0.15027049410872353,-0.2916296967047272,0.6951102371054639,-1.2697468160993266
0.42,0.16437891560478957,-0.31718126488759285,0.7156966091296619,-1.2852796443321723
0.44,0.17888118495013777,-0.342980788561887,0.7345001670535942,-1.2945572741294586
0.46,0.19374307639486402,-0.3689073093066717,0.7516641880644069,-1.2979950548461119
0.48,0.20893338818627535,-0.394848707430367,0.7673474343108346,-1.2960603787970928
0.5,0.22442414541206906,-0.42070240510889567,0.7817135483346684,-1.2892391670373848
0.52,0.24019061108816392,-0.4463754640897789,0.7949224898696214,-1.2780088653897719
0.54,0.2562111489672014,-0.47178421677496785,0.8071242641961452,-1.262818764659693
0.56,0.2724669827193457,-0.4968535734924673,0.8184548158284519,-1.244077251265859
0.58,0.2889418913916452,-0.5215161337617966,0.829033744720863,-1.2221448991006238
0.6,0.30562187334141083,-0.5457112048244182,0.8389634204485394,-1.1973320502750273
0.62,0.3224948024269598,-0.5693838039034701,0.8483290796492116,-1.1698995626219193
0.64,0.3395500925332468,-0.5924836960862446,0.8571995514759456,-1.1400615909491059
0.66,0.3567783801831233,-0.6149644995405005,0.8656283334399204,-1.1079895161854565
0.68,0.3741712302015743,-0.6367828745052236,0.8736548163484151,-1.0738163793803492
0.7000000000000001,0.39172086603439654,-0.6578978017317343,0.8813055223664363,-1.0376413849573838
0.72,0.40941992412101635,-0.6782699489781869,0.8885952713721882,-0.9995341995407165
0.74,0.42726123040411096,-0.6978611198829283,0.8955282282249016,-0.9595388906567721
0.76,0.4452375963738274,-0.7166337772496294,0.9020988094598202,-0.9176774305411904
0.78,0.46334163178663623,-0.7345506318117715,0.9082924448533656,-0.8739527424365151
0.8,0.48156557121314836,-0.7515742874084175,0.9140861996674366,-0.8283512978638955
0.8200000000000001,0.4999011117443361,-0.7676669338403114,0.9194492691629981,-0.7808452897383702
0.84,0.5183392594450718,-0.7827900792399898,0.9243433596723107,-0.7313944127069205
0.86,0.5368701824370123,-0.7969043144195465,0.928722971212443,-0.6799472822024181
0.88,0.5554830687869247,-0.8099691022512995,0.93253559604041,-0.6264425198131557
0.9,0.5741659876507977,-0.8219425856255889,0.9357218461592183,-0.5708095262264552
0.92,0.592905752365154,-0.8327814078770482,0.9382155208577911,-0.5129689551711766
0.9400000000000001,0.6116877843755345,-0.8424405397514783,0.9399436230412531,-0.4528328929817872
0.96,0.6304959770405866,-0.8508731069827801,0.9408263304177419,-0.39030473885248856
0.98,0.6493125584409292,-0.8580302123482448,0.9407769245190046,-0.32527877053478926
1,0.6681179523461813,-0.8638607456538331,0.9397016769560337,-0.25763936896956374
1.02,0.6868906364401709,-0.8683111744466411,0.937499688115456,-0.1872598627921613
1.04,0.705606996759313,-0.8713253073288452,0.934062668514377,-0.11400093930512409
1.06,0.7242411770445025,-0.8728440205135597,0.9292746470355243,-0.03770855169565021
1.08,0.7427649213198667,-0.8728049366599833,0.9230115829962847,0.041788767919045816
1.1,0.7611474074637644,-0.8711420429738977,0.9151408501393061,0.12468330478968258
1.12,0.7793550687926625,-0.8677852329538879,0.9055205497671944,0.21119241320386062
1.1400000000000001,0.7973513996922141,-0.8626597528622747,0.8939985968835837,0.30156380850349235
1.16,0.8150967400463189,-0.8556855298164562,0.8804115067417801,0.39608213400547415
1.18,0.832548031565365,-0.8467763530885168,0.8645827889238443,0.49507710072539834
1.2,0.8496585370155759,-0.8358388734581268,0.8463208311916127,0.5989335786184524
1.22,0.8663775107039828,-0.8227713768998188,0.8254161251563398,0.7081041202687883
1.24,0.882649805270188,-0.8074622780446087,0.8016376500497477,0.823124524740231
1.26,0.8984153957775772,-0.7897882652523809,0.7747281906421258,0.9446332005064855
1.28,0.9136087972395391,-0.7696120123760568,0.7443983251099207,1.0733952526511679
1.3,0.9281583461842101,-0.7467793524141125,0.7103187906971942,1.210332368940474
1.32,0.9419853111973322,-0.721115786413647,0.6721109491964775,1.3565596277096974
